CURIE,Label,Domain,Definition,subPropertyOf,Range,inverseOf
kamkt:P90001,ima vrstu korporativnog tijela,kamkt:C10009,Povezuje korporativno tijelo s riječi ili nizom riječi koji označava vrstu kojoj pripada korporativno tijelo.,kamka:P80001,,
kamkt:P90002,ima funkciju ili djelatnost korporativnog tijela,kamkt:C10009,"Povezuje korporativno tijelo s izrazom, nadziranim nazivom, identifikatorom ili drugom oznakom za područje ljudskog znanja ili aktivnosti kojim se korporativno tijelo bavi i/ili unutar kojega mu je dodijeljena određena funkcija.",,,
kamkt:P90003,ima napomenu o funkciji ili djelatnosti korporativnog tijela,kamkt:C10009,"Povezuje korporativno tijelo s kratkim nestrukturiranim tekstom u kojemu se navode objašnjenja i druge pojedinosti o funkciji koju tijelo obavlja ili je obavljalo, odnosno području ljudskog znanja ili aktivnosti kojim se bavi(lo).",kamkt:P90008,,
kamkt:P90004,ima unutarnji ustroj korporativnog tijela,kamkt:C10009,Povezuje korporativno tijelo sa strukturiranim ili nestrukturiranim tekstom u kojemu se objašnjava administrativni ustroj korporativnog tijela u užem smislu.,,,
kamkt:P90005,ima pravni položaj korporativnog tijela,kamkt:C10009,"Povezuje korporativno tijelo s izrazom, nadziranim nazivom, identifikatorom ili drugom oznakom za pravni položaj korporativnog tijela u užem smislu ili vrstu pravne osobe kojoj pripada korporativno tijelo u užem smislu.",,,
kamkt:P90006,ima jezik korporativnog tijela,kamkt:C10009,"Povezuje korporativno tijelo s izrazom, nadziranim nazivom, kôdom, identifikatorom ili drugom oznakom koja označava jezik kojim se korporativno tijelo služi(lo) u svom djelovanju.",,,
kamkt:P90007,ima povijest korporativnog tijela,kamkt:C10009,Povezuje korporativno tijelo s kratakim nestrukturiranmi tekstom koji opisuje najznačajnije događaje vezane uz djelovanje korporativnog tijela,,,
kamkt:P90008,ima napomenu o korporativnom tijelu,kamkt:C10009,"Povezuje korporativno tijelo s kratakim nestrukturiranim teksom koji sadržava pojedinosti o korporativnom tijelu koje se smatraju značajnima, a nisu iskazane u drugim elementima opisa.",kamjo:P10022,,
kamkt:P90009,je korporativno tijelo povezano s jedinicom opisa,kamkt:C10009,Povezuje korporativno tijelo s jedinicom opisa.,kamka:P80002,kamjo:C10001,kamjo:P10011
kamkt:P90010,je korporativno tijelo povezano s djelom,kamkt:C10009,Povezuje korporativno tijelo s djelom.,kamkt:P90009,kamd:C10002,kamd:P20038
kamkt:P90011,je korporativno tijelo povezano s izrazom,kamkt:C10009,Povezuje korporativno tijelo s izrazom.,kamkt:P90009,kami:C10003,kami:P30035
kamkt:P90012,je korporativno tijelo povezano s pojavnim oblikom,kamkt:C10009,Povezuje korporativno tijelo s pojavnim oblikom.,kamkt:P90009,kampo:C10004,kampo:P40098
kamkt:P90013,je korporativno tijelo povezano s primjerkom,kamkt:C10009,Povezuje korporativno tijelo s primjerkom.,kamkt:P90009,kamp:C10005,kamp:P50028
kamkt:P90014,je korporativno tijelo čije ovlasti proizlaze iz djela,kamkt:C10009,"Povezuje korporativno tijelo čije se ovlasti, funkcije i odgovornosti temelje na djelu s tim djelom.",kamkt:P90010,kamd:C10002,kamd:P20043
kamkt:P90015,je korporativno tijelo navodni stvaratelj djela,kamkt:C10009,"Povezuje korporativno tijelo čija je stvaralačka uloga u nastanku djela pogrešna, lažna ili izmišljena s tim djelom.",kamkt:P90010,kamd:C10002,kamd:P20048
kamkt:P90016,je korporativno tijelo nositelj prava intelektualnog vlasništva djela,kamkt:C10009,"Povezuje korporativno tijelo koje nad djelom uživa imovinska autorska prava ili pravo industrijskog vlasništva (patent, oznaka izvornosti itd.) s tim djelom.",kamkt:P90010,kamd:C10002,kamd:P20053
kamkt:P90017,je korporativno tijelo pretpostavljeni stvaratelj djela,kamkt:C10009,"Povezuje korporativno tijelo koje se opravdano smatra stvarateljem djela, ali njegova stvaralačka uloga nije pouzdano utvrđena ili dokazana s tim djelom.",kamkt:P90010,kamd:C10002,kamd:P20058
kamkt:P90018,je korporativno tijelo stvaratelj djela,kamkt:C10009,Povezuje korporativno tijelo s djelom kojeg je stvorilo.,kamkt:P90010,kamd:C10002,kamd:P20063
kamkt:P90019,je korporativno tijelo koje daje intervju,kamkt:C10009,Povezuje korporativno tijelo koje u pisanom ili usmenom obliku odgovara na pitanja koja mu postavlja voditelj intervjua s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20068
kamkt:P90020,je arhitekt,kamkt:C10009,"Povezuje korporativno tijelo odgovorno za projekt građevine ili drugog prostornog kompleksa, uključujući koordinaciju projektnog tima s tim djelom",kamkt:P90018,kamd:C10002,kamd:P20073
kamkt:P90021,je krajobrazni arhitekt,kamkt:C10009,Povezuje korporativno tijelo odgovorno za planiranje i oblikovanje krajobraza s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20078
kamkt:P90022,je autor izložbe,kamkt:C10009,"Povezuje korporativno tijelo odgovorno za koncepciju izložbe, uključujući istraživački rad, izradu scenarija izložbe, koordinaciju stručnjaka i stručnih timova itd. s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20083
kamkt:P90023,je autor performansa,kamkt:C10009,Povezuje korporativno tijelo koje je autor performansa s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20088
kamkt:P90024,je autor teksta,kamkt:C10009,Povezuje korporativno tijelo odgovorno za djelo izraženo u tekstualnom obliku s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20093
kamkt:P90025,je copywriter,kamkt:C10009,Povezuje korporativno tijelo koje je osmislilo tekst reklame s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20098
kamkt:P90026,je korespondent,kamkt:C10009,"Povezuje korporativno tijelo koje je osmislilo i poslalo tekstualnu poruku (pismo, poruku elektroničke pošte itd.) s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20103
kamkt:P90027,je libretist,kamkt:C10009,"Povezuje korporativno tijelo odgovorno za tekst libreta glazbeno-scenskog djela (opere, operete itd.) ili oratorija s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20108
kamkt:P90028,je pisac,kamkt:C10009,Povezuje korporativno tijelo koje je osmislilo tekst djela s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20113
kamkt:P90029,je scenarist,kamkt:C10009,"Povezuje korporativno tijelo odgovorno za ideju i sinopsis i/ili scenarij radijskog ili televizijskog programa, stripa, video igre ili drugog narativnog djela iskazanog u slikovnom obliku, osim filma s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20118
kamkt:P90030,je tekstopisac,kamkt:C10009,Povezuje korporativno tijelo odgovorno za tekst pjesme s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20123
kamkt:P90032,je dizajner,kamkt:C10009,"Povezuje korporativno tijelo odgovorno za funkcionalno i/ili vizualno oblikovanje industrijskog predmeta (industrijski dizajner) ili komunikacijsku formu (grafički dizajner), uključujući koordinaciju projektnog tima s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20130
kamkt:P90035,je istraživač,kamkt:C10009,Povezuje korporativno tijelo odgovorno za koncepciju i provedbu istraživanja s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20139
kamkt:P90038,je izumitelj,kamkt:C10009,Povezuje korporativno tijelo odgovorno za osmišljavanje i razvoj nove vrste predmeta ili tehnološkog postupka s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20148
kamkt:P90039,je kartograf,kamkt:C10009,"Povezuje korporativno tijelo koje je stvorilo kartu, atlas ili drugi kartografski prikaz u analognom ili digitalnom obliku s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20153
kamkt:P90040,je koreograf,kamkt:C10009,Povezuje korporativno tijelo koje je osmislilo ples ili drugi oblik izvedbene umjetnosti koji se temelji na pokretima tijela s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20158
kamkt:P90041,je likovni umjetnik,kamkt:C10009,Povezuje korporativno tijelo koje je osmislilo djelo likovne umjetnosti s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20163
kamkt:P90043,je fotograf,kamkt:C10009,"Povezuje korporativno tijelo koje je osmislilo fotografiju ili djelo sastavljeno od fotografija (fotografski album, fotomonografiju itd.) s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20170
kamkt:P90044,je grafičar,kamkt:C10009,Povezuje korporativno tijelo koje je osmislilo djelo grafičke umjetnosti s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20175
kamkt:P90045,je kipar,kamkt:C10009,"Povezuje korporativno tijelo koje je osmislilo i oblikovalo trodimenzionalno likovno djelo, uključujući kipove, reljefe i arhitektonsku plastiku s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20180
kamkt:P90046,je medaljer,kamkt:C10009,"Povezuje korporativno tijelo koje je osmislilo i oblikovalo medalju, plaketu, novčić ili drugo djelo sitne, najčešće metalne plastike s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20185
kamkt:P90047,je slikar,kamkt:C10009,Povezuje korporativno tijelo koje je stvorilo slikarsko djelo s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20190
kamkt:P90048,je nositelj projekta,kamkt:C10009,Povezuje korporativno tijelo koje upravlja znanstvenim ili razvojnim projektom i odgovorno je za sve aspekte projekta s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20195
kamkt:P90051,je programer,kamkt:C10009,Povezuje korporativno tijelo koje je stvorilo kôd računalnog programa ili aplikacije s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20206
kamkt:P90052,je skladatelj,kamkt:C10009,Povezuje korporativno tijelo koje je skladalo samostalno glazbeno djelo s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20216
kamkt:P90057,je stvaratelj arhivskog gradiva,kamkt:C10009,"Povezuje korporativno tijelo čije je djelovanje dovelo do nastanka, prikupljanja i/ili čuvanja arhivskog fonda ili njegovog dijela s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20220
kamkt:P90058,je stvaratelj zbirke,kamkt:C10009,Povezuje korporativno tijelo odgovorno za plan prikupljanja građe u zbirci s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20225
kamkt:P90059,je ugovorna stranka,kamkt:C10009,Povezuje korporativno tijelo koje je sklopilo ugovor s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20230
kamkt:P90060,je urbanist,kamkt:C10009,"Povezuje korporativno tijelo odgovorno za planiranje funkcije i prostorne organizacije grada ili dijela grada, uključujući planove, računalne simulacije i sl. koji prikazuju izgled i namjenu gradskog prostora s tim djelom.",kamkt:P90018,kamd:C10002,kamd:P20235
kamkt:P90062,je zakonodavac,kamkt:C10009,Povezuje korporativno tijelo koje je upravno-teritorijalna jedinica a čije je zakonodavno tijelo donijelo zakon ili drugi opći pravni akt s tim djelom.,kamkt:P90018,kamd:C10002,kamd:P20240
kamkt:P90063,je sudionik u nastanku djela,kamkt:C10009,"Povezuje korporativno tijelo koje je potaknulo, nadahnulo, podržalo i/ili odobrilo djelo, ali nije imao izravnu stvaralačku ulogu u njegovu nastanku s tim djelom.",kamkt:P90010,kamd:C10002,kamd:P20244
kamkt:P90064,je adresat,kamkt:C10009,"Povezuje korporativno tijelo koje je primilo tekstualnu poruku (pismo, poruku elektroničke pošte, poruku putem mobilne aplikacije itd.) s tim djelom.",kamkt:P90063,kamd:C10002,kamd:P20249
